District ID,G22AgD,G22AgR,G22AgO,G22AgT,G22AgrCD,G22AgrCR,G22AgrCO,G22AgrCT,G22TreD,G22TreR,G22TreO,G22TreT,G22AudD,G22AudR,G22AudO,G22AudT,G22SosD,G22SosR,G22SosO,G22SosT,G22GovD,G22GovR,G22GovO,G22GovT,G22SenD,G22SenR,G22SenO,G22SenT,G20PreD,G20PreR,G20PreO,G20PreT,G20SenD,G20SenR,G20SenO,G20SenT,G18GovD,G18GovR,G18GovO,G18GovT,G18AgD,G18AgR,G18AgO,G18AgT,G18SosD,G18SosR,G18SosO,G18SosT,G18TreD,G18TreR,G18TreO,G18TreT,G18AudR,G18AudD,G18AudO,G18AudT,G18AgrCR,G18AgrCD,G18AgrCO,G18AgrCT,G16PreR,G16PreD,G16PreO,G16PreT,G16SenR,G16SenD,G16SenO,G16SenT,G14AgR,G14AgD,G14AgO,G14AgT,G14AgrCR,G14AgrCD,G14AgrCO,G14AgrCT,G14TreR,G14TreD,G14TreO,G14TreT,G14AudR,G14AudD,G14AudO,G14AudT,G14SosR,G14SosD,G14SosO,G14SosT,G14GovR,G14GovD,G14GovO,G14GovT,G14SenR,G14SenD,G14SenO,G14SenT,G12PreR,G12PreD,G12PreO,G12PreT
1,6740,7213,0,13953,5583,8336,0,13919,6503,7453,0,13956,6840,7120,0,13960,5782,8241,0,14023,5356,8470,246,14072,6023,8094,4,14121,11404,12082,403,23889,11333,11141,952,23426,9069,9294,320,18683,12341,3660,85,16086,9027,8897,348,18272,10019,7722,347,18088,7429,10338,396,18163,8616,9009,561,18186,11695,10220,1600,23515,13109,8852,1122,23083,7309,8209,2,15520,8704,5831,766,15301,7945,7166,277,15388,8273,6809,2,15084,7169,7453,845,15467,9580,5967,411,15958,8089,7087,898,16074,10396,13708,426,24530
2,4334,19724,0,24058,2805,21421,0,24226,4346,19666,0,24012,4723,19324,0,24047,3233,21025,0,24258,2845,21762,97,24704,3624,20975,0,24599,6282,27297,451,34030,6165,27009,387,33561,4456,21610,147,26213,12190,5399,55,17644,4245,21057,164,25466,5499,19477,199,25175,19575,5468,220,25263,20966,4146,248,25360,25383,5008,1759,32150,27059,3874,543,31476,18489,3910,0,22399,19631,2272,165,22068,18330,3780,161,22271,18622,3035,0,21657,17568,3843,546,21957,20248,2500,178,22926,19059,3375,396,22830,24272,6630,238,31140
3,6811,14137,0,20948,4000,17104,0,21104,6793,14074,0,20867,7000,13849,0,20849,4791,16227,0,21018,4384,16742,192,21318,5299,15886,0,21185,8937,21789,334,31060,9322,20542,752,30616,7853,16040,241,24134,14758,4230,10,18998,6731,16403,241,23375,9376,13590,258,23224,14075,9001,237,23313,16624,6588,320,23532,20925,7954,1716,30595,22518,6552,860,29930,12633,8521,0,21154,16754,3919,381,21054,12470,8004,444,20918,14730,5539,0,20269,12898,7142,733,20773,16581,4887,398,21866,14589,6315,914,21818,18670,11442,313,30425
4,8867,13560,0,22427,5650,16798,0,22448,8913,13508,0,22421,8955,13442,0,22397,6157,16346,0,22503,5928,16450,213,22591,6840,15713,0,22553,10403,21512,249,32164,10818,20196,899,31913,9810,15492,276,25578,17247,4963,20,22230,8971,15624,310,24905,12786,11870,230,24886,13447,11029,359,24835,15522,9047,412,24981,19927,9934,1706,31567,21699,8347,1016,31062,9824,13375,0,23199,16297,5885,701,22883,10155,12100,451,22706,13440,8641,0,22081,11553,10041,1072,22666,15332,7286,1064,23682,13919,8560,1070,23549,16852,15419,318,32589
5,9506,17438,0,26944,6039,21033,0,27072,9634,17322,0,26956,9390,17510,0,26900,7209,19821,0,27030,6784,20092,309,27185,8011,19209,0,27220,11846,25072,336,37254,12641,23465,885,36991,10607,18263,308,29178,18582,5805,55,24442,9806,18415,277,28498,13059,15065,307,28431,16775,11317,310,28402,19399,9069,307,28775,23034,10574,1823,35431,25165,8774,1075,35014,12820,12530,0,25350,19146,5671,588,25405,12178,12268,510,24956,15766,8703,2,24471,13739,10168,992,24899,18586,7098,404,26088,15454,9319,1164,25937,19713,15557,323,35593
6,8175,14434,0,22609,5051,17479,0,22530,7842,14604,0,22446,7476,15048,0,22524,5448,17177,0,22625,5101,17843,154,23098,6233,16753,0,22986,9997,23223,213,33433,10335,21812,724,32871,8352,17134,203,25689,15898,4395,15,20308,7329,16793,273,24395,11052,13015,238,24305,14910,9138,271,24319,16171,7852,369,24392,21090,9141,1509,31740,22313,7600,856,30769,10504,11104,0,21608,15866,4796,496,21158,10431,10171,367,20969,13448,6814,2,20264,11695,8222,802,20719,16257,5979,498,22734,14266,7431,797,22494,17785,13922,140,31847
7,7737,15201,0,22938,5348,17516,0,22864,7503,15370,0,22873,8128,14723,4,22855,5824,17139,0,22963,5225,17725,191,23141,6314,16882,10,23206,10475,22914,481,33870,10598,21894,951,33443,8583,17445,326,26354,15342,5832,98,21272,8498,16875,270,25643,10691,14555,301,25547,14019,11264,417,25700,16557,8583,480,25620,21779,8738,1661,32178,23341,7331,1025,31697,13097,9339,0,22436,16335,5032,846,22213,14260,7780,301,22341,14915,6859,0,21774,12771,8518,991,22280,17323,5480,398,23201,14961,7061,1188,23210,18917,13036,450,32403
8,7940,17609,0,25549,6898,18635,2,25535,8089,17361,2,25452,7536,17897,2,25435,7261,18432,0,25693,6862,18737,335,25934,7741,18154,6,25901,11760,25394,464,37618,11928,24106,1153,37187,9505,18420,440,28365,15301,7273,154,22728,8636,18637,497,27770,10159,16963,526,27648,17957,8973,594,27524,17913,9050,715,27678,22886,9703,1990,34579,23997,7965,1633,33595,13768,8285,6,22059,15740,5075,1044,21859,13274,7752,804,21830,15487,6212,0,21699,13831,6833,1344,22008,16223,5424,1237,22884,15077,6842,840,22759,20064,13187,388,33639
9,7931,15596,0,23527,5703,17695,0,23398,8072,15340,0,23412,7811,15597,0,23408,5993,17537,0,23530,5750,17651,217,23618,6703,16921,0,23624,9765,23376,201,33342,9752,22520,646,32918,8706,16980,168,25854,16177,5088,10,21275,7419,17549,170,25138,10415,14548,146,25109,15949,8862,215,25026,16573,8067,372,25012,21470,8875,1611,31956,23076,7219,891,31186,12253,10383,0,22636,16778,4838,485,22101,12222,9378,323,21923,15424,6451,0,21875,13458,7693,683,21834,16506,5904,564,22974,15653,6703,554,22910,18195,13548,220,31963
10,7309,8540,0,15849,6827,8922,0,15749,7215,8575,2,15792,7063,8665,8,15736,6877,8977,2,15856,6647,8990,337,15974,7121,8819,4,15944,12464,13955,676,27095,12430,12872,1372,26674,9542,9960,675,20177,12483,4612,136,17231,9188,10019,668,19875,9645,9340,698,19683,9900,9035,826,19761,9619,9337,852,19808,13251,10526,2005,25782,13990,8971,2086,25047,7187,7229,7,14423,7787,5488,1220,14495,7057,6588,870,14515,8183,6078,11,14272,7127,6300,1192,14619,8472,5404,1094,14970,7520,6431,1009,14960,11459,13566,590,25615
11,13267,15477,2,28746,9814,18556,2,28372,13261,15306,2,28569,13948,14609,3,28560,9797,18741,4,28542,10190,18038,789,29017,11524,17275,16,28815,15238,22271,805,38314,15269,21440,1233,37942,13315,15831,644,29790,19306,6498,108,25912,11928,16376,709,29013,15360,12882,712,28954,14187,13918,815,28920,15360,12488,891,28739,18609,12862,2535,34006,21274,10810,1377,33461,10086,14053,8,24147,15744,7295,718,23757,10620,12637,691,23948,13335,9819,10,23164,11501,11111,1184,23796,14386,9111,1179,24676,13521,9962,1140,24623,16173,16088,583,32844
12,9627,15670,0,25297,6209,19021,0,25230,9470,15780,0,25250,10190,15081,0,25271,6558,18799,0,25357,6329,18911,217,25457,7496,18058,4,25558,10240,23439,236,33915,10475,22233,804,33512,9287,17091,246,26624,16816,6338,30,23184,8428,17285,277,25990,12024,13637,312,25973,14708,10844,333,25885,16174,9251,491,25916,19917,9478,1836,31231,21607,8021,1065,30693,10416,12808,2,23226,16617,5538,519,22674,10990,11329,372,22691,14151,8132,0,22283,11944,9732,839,22515,15526,7070,786,23382,14222,7939,1166,23327,16548,14290,344,31182
13,7863,12739,0,20602,5778,14711,0,20489,7767,12795,0,20562,7806,12714,0,20520,6000,14637,0,20637,5726,14630,286,20642,6630,14075,0,20705,9687,19733,308,29728,10487,17839,944,29270,9257,13326,225,22808,14619,5135,13,19767,8423,13666,213,22302,10834,11202,240,22276,12057,9806,356,22219,12805,8969,510,22284,17833,9332,1477,28642,17747,9209,1048,28004,8364,12080,2,20446,12258,6971,793,20022,8685,10843,550,20078,10693,8990,2,19685,9520,9515,1098,20133,12643,7429,827,20899,11180,8494,1178,20852,13917,14681,443,29041
14,15602,13130,0,28732,12342,16134,2,28478,15478,13194,0,28672,15678,13083,2,28763,12487,16337,0,28824,13213,15436,678,29327,14134,14721,11,28866,18151,17585,870,36606,17018,18326,948,36292,12752,13401,514,26667,17619,5617,275,23511,11640,13853,679,26172,14144,11077,685,25906,12451,12869,692,26012,13308,11728,749,25785,11725,9792,2102,23619,15149,7251,930,23330,8586,8471,4,17061,12069,4351,407,16827,8777,7740,492,17009,10924,5415,6,16345,9550,6698,687,16935,11756,5214,640,17610,10596,6434,561,17591,13181,9576,344,23101
15,10947,5643,2,16592,9386,6910,2,16298,11058,5509,0,16567,11048,5402,2,16452,9294,7219,2,16515,9481,6759,594,16834,10199,6583,2,16784,16180,10104,574,26858,16116,9409,1005,26530,13279,6974,525,20778,15407,3595,112,19114,12715,7007,627,20349,14423,5413,589,20425,6302,13331,664,20297,6709,12720,720,20149,8898,13988,1759,24645,10924,12086,1274,24284,4862,11509,2,16373,7181,8189,740,16110,4840,10982,470,16292,6523,9383,5,15911,5374,10017,942,16333,6787,8968,919,16674,6306,9574,783,16663,8394,17185,513,26092
16,17967,10400,10,28377,14769,13195,4,27968,18053,10247,6,28306,18057,10077,8,28142,14389,13842,5,28236,15421,12592,680,28693,16385,12297,17,28699,22200,14963,756,37919,21052,15738,882,37672,18365,13385,483,32233,22728,5955,222,28905,16931,14080,708,31719,20424,10574,667,31665,12786,18054,734,31574,13454,17067,829,31350,14606,18280,2823,35709,19200,14780,1332,35312,11120,15634,14,26768,15900,9643,799,26342,11102,14756,738,26596,14451,11396,21,25868,12495,12915,1151,26561,15370,10887,1047,27304,13804,12701,828,27333,17911,18571,586,37068
17,11218,3571,0,14789,10103,4437,2,14542,11182,3553,1,14736,11218,3431,4,14653,10018,4636,2,14656,10362,4163,414,14939,10786,4151,2,14939,17075,6669,559,24303,16831,6135,993,23959,14315,4653,484,19452,15400,2828,41,18269,13940,4679,598,19217,14871,3687,564,19122,4383,14065,646,19094,4437,13828,750,19015,5814,16035,1792,23641,7744,14118,1260,23122,3472,11976,4,15452,5179,9450,731,15360,3431,11467,548,15446,4660,10460,7,15127,3659,10933,912,15504,4765,9937,1114,15816,4304,10802,786,15892,5729,18836,609,25174
18,20875,5908,3,26786,18599,7809,7,26415,20908,5791,3,26702,21015,5632,11,26658,18256,8452,7,26715,19311,7090,732,27133,20154,6928,12,27094,25969,9445,826,36240,25267,9683,979,35929,22548,7770,665,30983,24412,4470,73,28955,21417,8238,816,30471,23349,6194,830,30373,7624,21773,877,30274,7887,21311,948,30146,8797,22012,2703,33512,12566,19036,1489,33091,6335,18336,16,24687,10166,13273,949,24388,6361,17443,774,24578,8856,15021,28,23905,7041,16438,1239,24718,9323,14655,1266,25244,8002,16422,876,25300,10634,22888,756,34278
19,10415,16018,2,26435,7317,19004,2,26323,10324,16037,2,26363,10989,15411,2,26402,7512,18933,0,26445,7663,18415,620,26698,8690,17844,3,26537,12049,22793,637,35479,12210,21893,1084,35187,10848,16666,443,27957,17678,6549,45,24272,9854,17200,459,27513,12983,14003,503,27489,15128,11745,620,27493,16169,10775,656,27600,19935,10853,2423,33211,22241,9256,1434,32931,11723,13484,0,25207,17089,6975,839,24903,12086,11901,1037,25024,14873,9484,0,24357,13208,10442,1286,24936,15860,8469,1232,25561,15169,9166,1162,25497,17519,15337,577,33433
20,12953,10172,4,23129,10221,12578,0,22799,13156,9913,4,23073,13357,9656,7,23020,10182,12872,4,23058,10407,12347,779,23533,11551,11917,21,23489,15727,15777,743,32247,15612,15110,1192,31914,13555,11017,572,25144,17276,4942,143,22361,12537,11373,713,24623,15400,8569,646,24615,10040,13823,694,24557,10649,12956,748,24353,13505,13071,2268,28844,15933,11077,1347,28357,7320,12218,6,19544,10876,7585,783,19244,7254,11595,575,19424,9718,9206,8,18932,8145,10210,1018,19373,10133,8808,981,19922,9499,9471,911,19881,11935,15806,589,28330
21,15949,13586,1,29536,12539,16638,1,29178,16183,13249,7,29439,16367,13066,2,29435,12736,16731,0,29467,13403,15794,730,29927,14512,15372,17,29901,18302,18767,893,37962,17698,18912,957,37567,13745,14004,535,28284,18290,6166,222,24678,12775,14322,615,27712,15945,11056,680,27681,13058,13872,666,27596,13939,12850,709,27498,14863,12657,2614,30134,18489,10087,1202,29778,9283,10561,9,19853,13323,5721,599,19643,9161,10024,559,19744,11969,7186,5,19160,10448,8373,899,19720,12552,6902,877,20331,11727,7954,683,20364,14489,11997,499,26985
22,16910,11915,7,28832,13339,15084,7,28430,17140,11563,7,28710,17202,11414,17,28633,13148,15623,9,28780,14104,14377,696,29177,15233,13930,20,29183,20017,16683,786,37486,19144,17174,843,37161,16229,14388,522,31139,21167,6122,209,27498,14977,14962,644,30583,18675,11124,676,30475,13330,16485,635,30450,14376,15150,727,30253,15514,16300,2670,34484,19832,13105,1212,34149,10955,14305,0,25260,15860,8237,749,24846,10868,13593,654,25115,14387,9997,17,24401,12529,11469,1094,25092,15273,9511,1058,25842,13944,11088,824,25856,17521,15849,497,33867
23,14414,15165,3,29582,10891,18351,9,29251,14611,14904,7,29522,14916,14571,6,29493,11132,18406,4,29542,11733,17616,718,30067,12887,17085,20,29992,15969,20054,791,36814,15486,20137,880,36503,12047,14670,495,27212,17194,6355,211,23760,11013,15041,611,26665,14278,11723,581,26582,13429,12435,658,26522,14391,11375,687,26453,15430,10509,2256,28195,18453,8293,1074,27820,9038,9368,3,18409,12813,4801,503,18117,8981,8826,430,18237,11422,6305,2,17729,9983,7344,876,18203,12071,5952,796,18819,11454,6729,632,18815,13676,10287,376,24339
24,12089,13530,0,25619,8688,16791,0,25479,12136,13392,0,25528,12539,13050,0,25589,8707,16955,0,25662,9074,16274,394,25742,10276,15485,0,25761,14270,20447,434,35151,14263,19615,1014,34892,12881,14611,357,27849,18699,6203,18,24920,11460,15272,442,27174,15137,11549,415,27101,13198,13488,506,27192,14358,12222,569,27149,17365,12404,2554,32323,19950,10449,1452,31851,9776,14059,0,23835,15688,7100,430,23218,10215,12618,481,23314,13348,9433,2,22783,11203,10975,1033,23211,14177,8991,868,24036,13343,9724,917,23984,15552,16845,414,32811
