District ID,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030
1,7133.0,3404.4285714285716,4907.0,4758.333333333333,5225.960317460317,2835.1428571428573,3089.948095238095,3042.785988095239,2910.982279241072,2831.556577106895
2,6575.0,3527.285714285714,4629.0,5208.833333333333,5254.019841269841,3283.0,3259.7026190476186,3128.643495238096,2993.1385487236403,2879.2240646595665
3,4146.0,2156.0,2766.5,3625.1666666666665,3422.277777777778,2312.8571428571427,2333.152857142855,2380.8406561224465,2411.034301994898,2443.5002674978496
4,2484.0,1089.0,1674.5,2375.5,2038.3333333333333,1388.5714285714287,1800.150476190476,2019.1864693877521,2168.2208527130106,2266.248061707986
5,5402.0,2967.285714285714,3169.0,4243.0,4016.714285714286,2579.4285714285716,2501.2180952380954,2492.106735034013,2512.317635527636,2511.066558027344
6,6040.0,3365.1428571428573,4084.0,4808.166666666667,4706.218253968254,3003.1428571428573,2849.917142857144,2795.802149659867,2767.6417354336763,2743.674348105935
7,7155.0,4325.0,3973.5,5527.833333333333,5059.222222222222,3453.285714285714,3291.2728571428574,3134.9871605442177,2993.2467523193045,2884.426536694014
8,8264.0,5087.714285714285,5167.0,5953.833333333333,6053.257936507936,3876.714285714286,3613.4083333333315,3378.5279040816313,3199.932929710459,3078.0158880196623
9,8114.0,4895.0,4975.5,6061.5,6030.166666666667,4018.714285714286,3653.2907142857125,3395.7271074829905,3200.4106281585873,3083.8045996394435
10,7443.0,4498.857142857143,4698.5,6011.833333333333,5834.0317460317465,4063.1428571428573,3563.1700000000005,3329.390689115646,3142.72455066454,3021.446874072731
11,7762.0,4636.285714285715,4692.5,5708.166666666667,5651.825396825397,3875.5714285714284,3483.495952380952,3301.9777908163273,3113.9810169081634,3005.635087551942
12,6160.0,3151.8571428571427,3678.0,4228.666666666667,4406.420634920635,2599.5714285714284,2609.7923809523804,2586.5076030612263,2589.101409136483,2569.011137286829
13,6383.0,3715.4285714285716,3596.5,5023.166666666667,4660.18253968254,2987.4285714285716,2916.516666666668,2848.043503061225,2800.9477539647132,2762.9401583920535
14,6653.0,3437.285714285714,4437.5,5470.333333333333,5304.686507936508,3595.1428571428573,3336.7623809523816,3143.1287697278917,3009.1520552551033,2890.2500157838103
15,6771.0,3561.285714285714,4778.0,5391.833333333333,5556.353174603174,4068.8571428571427,3498.3742857142856,3240.8490445578245,3083.7190628414132,2977.4300434071642
16,6417.0,3070.5714285714284,4057.0,4879.166666666667,4879.289682539683,3406.4285714285716,3087.4238095238106,2917.9922180272115,2840.2311990722806,2782.912032114096
17,7301.0,4058.714285714286,4142.0,5356.333333333333,5055.007936507936,3553.0,3292.9964285714286,3121.104764965987,2990.708199215136,2886.103891420259
18,6247.0,3277.0,3905.0,4585.0,4676.5,3298.8571428571427,2876.8342857142866,2820.77829761905,2782.3830185216857,2755.55683746918
19,6877.0,3244.0,5196.5,5295.333333333333,5680.805555555556,3878.714285714286,3418.2173809523797,3219.8280071428576,3054.059669801871,2927.905671008622
20,6689.0,2972.8571428571427,4552.0,4576.333333333333,5035.531746031746,3129.714285714286,3038.58,2929.29837244898,2851.544873518284,2789.6708855721936
21,8404.0,5450.714285714285,5914.5,6777.0,6769.035714285715,5207.428571428572,5425.099047619048,4993.45082210884,4753.597076924312,4609.948160495028
22,7684.0,5119.0,5921.5,7608.833333333333,7128.722222222223,6478.428571428572,6490.167619047616,6027.033273809523,5813.55664780527,5677.712009012397
23,7243.0,4720.428571428572,4503.5,6080.166666666667,5673.68253968254,4555.0,3715.602380952381,3418.8403819727896,3212.310578205357,3088.0608779511317
24,7047.0,4215.0,4246.0,5028.166666666667,4959.361111111111,3427.714285714286,3201.8290476190464,3019.52804047619,2904.0140101556135,2827.6193608821845
25,7770.0,4735.0,4986.0,5306.166666666667,5656.36111111111,3496.1428571428573,3430.379999999999,3242.8236309523822,3080.310643560801,2973.3791557785244
26,6911.0,4453.857142857143,4284.5,5011.833333333333,4949.0317460317465,3299.5714285714284,3157.671190476189,2998.3965023809506,2897.743748829934,2821.8776749777903
27,4583.0,3107.8571428571427,4217.5,6784.833333333333,6090.531746031746,7300.428571428572,5400.633809523806,4834.106842517008,4765.465143276354,4547.740722317466
28,4994.0,3224.1428571428573,4305.0,6674.166666666667,6086.218253968254,6833.285714285715,5303.920476190477,4751.649275170065,4648.276481760198,4482.207337301607
29,7713.0,4279.142857142857,6085.0,6242.833333333333,6604.829365079365,4615.571428571428,5278.043095238094,4746.239204421766,4489.9629061577325,4418.794679402028
30,9472.0,5524.0,6952.0,7403.5,7723.083333333333,5586.428571428572,5986.329047619048,5899.689791836732,5670.0283606024595,5490.974370548172
31,8827.0,5746.285714285715,7946.5,9077.666666666666,8868.40873015873,8241.714285714286,7722.292142857143,7624.654523469387,7375.4319814073115,7239.974344008625
32,9744.0,6815.428571428572,8583.5,9850.5,9438.738095238095,8192.714285714286,8179.061428571421,7992.058330952374,7577.778125955783,7458.471072431204
33,8787.0,4824.0,6662.0,6536.5,7092.416666666667,4794.285714285715,5410.007857142854,5264.5721731292515,4896.495025250418,4664.1281274145695
34,10049.0,5894.142857142857,8414.5,7866.666666666667,8397.38492063492,5904.0,7016.6497619047595,6556.59959727891,6288.711908647104,6259.986045704311
35,11752.0,8080.285714285715,10068.0,10783.666666666666,10872.992063492064,9580.42857142857,9188.42619047618,9048.126443537403,8855.687284181548,8687.65392062867
36,11136.0,7860.857142857143,10456.0,11684.666666666666,11303.25396825397,10293.57142857143,10015.587619047625,9619.348070748292,9316.062722763592,9086.454229339355
37,6494.0,4073.4285714285716,4301.0,5441.333333333333,5177.793650793651,4035.4285714285716,3299.2902380952382,3140.7229931972793,3009.888711574831,2896.810326117847
38,8843.0,5915.285714285715,5753.5,6872.5,6814.380952380951,4951.714285714285,5311.902619047615,4998.778714965983,4808.042488493613,4639.628122760604
39,8608.0,5225.857142857143,6318.0,7090.333333333333,7110.698412698413,5432.428571428572,5763.7,5590.972067687077,5247.652471713429,4956.659718790249
40,7198.0,4644.571428571428,5756.0,7167.5,6780.511904761905,6257.142857142857,6514.088809523808,5540.219383673468,5175.412377837578,4959.599297843581
41,5569.0,3877.285714285714,5511.5,7113.5,6709.380952380951,7338.571428571428,6742.916666666669,5971.654911564624,5809.543902303141,5632.177539424376
42,6428.0,4225.857142857143,5860.5,7466.0,6965.892857142858,7188.0,6705.4390476190465,6336.19354727891,6002.21717866879,5802.778952880861
43,6853.0,5001.857142857143,6580.5,8006.833333333333,7526.36507936508,7551.571428571428,6932.067857142855,6740.787301360541,6361.879740820572,6150.921349737209
44,8996.0,6169.571428571428,8122.0,9107.0,8806.595238095239,7745.0,7724.235238095237,7497.687565306123,7265.921569007647,7171.613233063745
45,5452.0,3771.8571428571427,4776.5,6460.666666666667,5842.003968253968,6094.857142857143,4270.219047619044,4044.307655102039,3844.9007641313756,3576.8144249941447
46,4834.0,3274.1428571428573,4624.5,6596.666666666667,6032.5515873015875,6846.0,4819.729285714285,4543.876160884351,4441.697570685793,4232.692995401144
47,7879.0,4723.285714285715,5015.5,6434.5,6116.714285714285,4658.571428571428,4142.228809523808,3773.9600707482978,3451.2299227929416,3314.2462792682513
48,8966.0,5691.0,6411.0,7546.666666666667,7416.61111111111,5842.714285714285,5955.698571428568,5838.244771768701,5606.635448326948,5389.101404219389
49,8193.0,4392.857142857143,8070.5,7779.666666666667,7576.670634920635,5737.571428571428,6108.1114285714275,6000.384744897952,5783.7215629604525,5660.573450542826
50,9221.0,5799.714285714285,8747.0,9267.666666666666,9223.563492063491,8044.428571428572,7972.0716666666585,7755.250428231289,7464.5215192942205,7299.400671072207
51,8033.0,5222.285714285715,5737.5,7126.333333333333,6862.519841269841,5811.428571428572,5713.579523809523,5255.107402721088,4905.508110013173,4706.558673040574
52,8054.0,4907.571428571428,5773.0,5897.0,6293.261904761905,3977.285714285714,3953.849523809522,3964.7217085034,3714.072019799319,3390.5887754091705
53,9040.0,5842.285714285715,6384.0,7254.666666666667,7144.325396825396,5130.0,5785.396666666665,5705.640773469385,5301.199494406032,4988.353707056387
54,7406.0,4565.0,4678.5,5886.166666666667,5680.944444444444,4093.4285714285716,3537.2888095238104,3312.5147911564627,3125.951449391581,3013.594311383198
55,7856.0,4617.714285714285,5113.5,6099.166666666667,6020.563492063492,4348.428571428572,3717.8185714285705,3418.4662401360547,3206.1056857746607,3088.0447035923494
56,7016.0,4134.714285714285,4119.5,5063.0,5066.535714285715,3405.1428571428573,3238.156666666666,3090.546477551022,2966.7674713716,2871.9203374438166
57,8074.0,4899.142857142857,5592.0,6497.666666666667,6485.9682539682535,5046.428571428572,4344.683333333332,4310.846711904761,4212.943069654761,4134.786883787457
58,9376.0,5582.571428571428,5774.0,6574.333333333333,6706.484126984127,4529.0,5078.502142857141,4835.777616326527,4528.262342477886,4454.518851785429
59,10336.0,6161.428571428572,6962.5,7573.333333333333,8038.376984126985,5741.571428571428,6747.404999999999,6308.477137074829,5958.178084478734,5886.29813873101
60,9039.0,5190.857142857143,5675.0,6537.0,6776.476190476191,4871.571428571428,5177.733571428568,4879.62531428571,4555.7481470884295,4504.612271925871
61,9702.0,5833.714285714285,7104.0,7254.333333333333,7793.174603174604,5496.285714285715,5941.924047619047,5889.6336187074785,5666.127611808243,5485.100892922866
62,11098.0,6069.857142857143,7639.5,6949.5,8095.642857142858,4946.142857142857,6603.97476190476,6283.701815986393,5942.157665397102,5935.201912420183
63,9631.0,5828.428571428572,6746.5,7725.833333333333,7626.460317460318,6051.285714285715,6043.3442857142845,5975.566571768705,5770.308576190896,5566.0249845948165
64,8564.0,5170.571428571428,5392.0,6290.333333333333,6279.984126984127,4592.571428571428,4212.661904761902,4186.719950680272,4038.8040783431125,3974.1450780494974
65,8002.0,5158.857142857143,5707.0,6930.333333333333,6740.36507936508,5340.285714285715,5711.027857142857,5143.009473129249,4844.926933167936,4654.4395891620725
66,8993.0,5189.285714285715,5527.0,6481.333333333333,6578.269841269841,4649.857142857143,4341.674999999999,4481.785928911563,4221.938449698127,4152.06888942702
67,8862.0,5234.571428571428,5323.5,6472.5,6458.428571428572,4670.0,4263.529047619047,4212.868284693876,4160.877220087584,4087.4747866211637
68,9173.0,5511.285714285715,5572.0,6421.5,6542.297619047618,4530.571428571428,4241.400238095236,4364.058805442176,4211.160309163689,4139.208850824938
69,11070.0,5755.571428571428,6853.0,6594.333333333333,7624.31746031746,4918.714285714285,5573.14595238095,5509.946119387752,5186.387383163685,4926.837768319751
70,8987.0,5196.142857142857,5829.5,6565.166666666667,6760.301587301587,4768.142857142857,5168.1128571428535,4863.139060544214,4545.973822386473,4488.55671895745
71,10218.0,5844.0,7464.5,7633.0,8116.916666666667,5826.142857142857,6863.1971428571405,6442.205173469382,6055.895054001695,5991.597084453273
72,9699.0,5986.0,7350.5,7668.333333333333,8036.472222222223,6072.428571428572,6878.431428571428,6443.625857823128,6075.769827515302,5916.432336982828
73,7886.0,5237.571428571428,6788.0,8091.333333333333,7907.484126984127,7587.0,7243.046428571432,6870.40841292517,6600.6344937602,6354.584447513498
74,9360.0,5915.285714285715,7419.5,8176.833333333333,8513.769841269843,7360.0,7398.709047619047,7225.811750680266,7060.571484262747,6939.083232569593
75,9739.0,5890.857142857143,8153.0,8910.5,8683.892857142857,7006.428571428572,7335.89095238095,7295.222267006802,7125.421380913262,7040.310189269989
76,8178.0,5130.285714285715,5941.5,7011.833333333333,6945.436507936508,5580.0,5603.60238095238,5420.121231292518,4990.3322052789035,4843.678339346005
77,9183.0,5174.0,6621.0,6960.666666666667,7521.444444444444,5723.142857142857,5887.461904761901,5728.3583578231255,5428.259254666658,5107.520684850098
78,10824.0,6585.714285714285,8667.5,8897.666666666666,9394.313492063491,7352.0,7739.253809523802,7627.900828911561,7398.10021201488,7284.120417031181
79,10655.0,6684.142857142857,7835.0,8446.5,8903.940476190475,7018.285714285715,7405.810238095236,7449.974403401357,7233.9556713244,7175.6221290152425
80,9447.0,6101.142857142857,7583.0,8442.166666666666,8560.88492063492,7448.0,7416.565952380952,7265.2018047619085,7102.210422512749,6993.8439078571
81,10002.0,5045.285714285715,7046.5,6788.166666666667,7642.658730158729,5122.142857142857,5865.320714285713,5622.673008163262,5244.842070021677,4978.846519900737
82,8408.0,4773.142857142857,5626.0,6268.166666666667,6592.7182539682535,4765.142857142857,4536.855476190475,4578.852960204079,4261.894257422615,4183.955562311517
83,9332.0,6138.428571428572,6971.0,8207.333333333334,8141.626984126985,6967.571428571428,7336.696904761905,7113.782210204081,6883.108271869893,6675.172750154567
84,8514.0,5172.571428571428,5515.0,6664.166666666667,6645.956349206349,5243.142857142857,5325.191904761902,4913.5757795918325,4539.987372739364,4457.453946632303
85,9451.0,6270.285714285715,8841.5,9554.333333333334,9650.853174603175,9259.42857142857,8489.236904761894,8215.085357482982,7944.250980706213,7743.363477422657
86,9877.0,6502.142857142857,9271.0,9716.0,10001.52380952381,9228.42857142857,8691.753809523796,8454.67626768706,8292.17582218708,8130.9507103482065
87,7967.0,4956.714285714285,5458.5,6157.833333333333,6312.507936507936,4775.714285714285,4240.685238095236,4190.09067312925,4039.4050952631806,3975.523157877431
88,6674.0,3715.714285714286,3828.0,4663.833333333333,4701.257936507936,3303.8571428571427,3021.621190476191,2892.591198979593,2832.646540056549,2781.0981110817474
89,11634.0,6733.857142857143,10441.0,10244.0,10674.47619047619,8846.142857142857,8876.69238095237,8758.684030952372,8632.513050610121,8441.492392326852
90,13154.0,8493.57142857143,12577.5,12388.333333333334,12400.734126984127,11437.285714285714,10743.326190476184,10230.107353401358,9796.250784304842,9466.143680679024
91,8024.0,5180.571428571428,6032.0,7377.833333333333,7251.06746031746,6423.714285714285,6214.054761904758,5935.064046258502,5752.664938941748,5541.116923006175
92,7783.0,4791.857142857143,5552.0,6371.833333333333,6466.7817460317465,5104.0,4403.669047619046,4306.305029931971,4215.45780349362,4140.9934072399465
93,7236.0,4440.428571428572,6399.0,6963.333333333333,7133.460317460318,6247.0,6566.858809523807,5895.434246258504,5701.981263818023,5466.720684228885
94,8626.0,5051.571428571428,6680.5,7095.0,7506.345238095238,5905.142857142857,5972.656666666665,5776.228599659859,5497.880191595232,5242.193553920265
95,7766.0,4028.5714285714284,4778.5,5446.0,5584.178571428572,3636.8571428571427,3442.720238095238,3253.68911394558,3091.0867999306984,2991.6254697000786
96,8373.0,4047.714285714286,5663.0,5575.333333333333,6234.174603174603,3957.0,3905.445476190475,3881.443768027211,3601.5176800591003,3349.560065076805
97,10612.0,5649.714285714285,7898.0,7204.5,8252.70238095238,5621.714285714285,6775.716904761903,6403.47343333333,6020.803912214707,5993.039849684366
98,10044.0,4979.714285714285,6744.0,6163.166666666667,7218.980158730159,4397.142857142857,5309.762857142855,5303.923773809521,4926.267096312493,4698.083236561547
99,10348.0,5747.285714285715,6774.5,6961.166666666667,7568.658730158729,5006.428571428572,5722.774285714285,5714.1985044217645,5302.296156617764,4981.884703155472
100,10054.0,4919.0,5987.5,6186.833333333333,6732.722222222223,4230.285714285715,5057.355238095238,4809.306297619043,4510.97925007185,4446.435392857658
